"filename", "language", "Python", "Todo", "HTML", "pip requirements", "comment", "blank", "total"
"c:\Users\josei\Documents\GitHub\TCC\AG\AG2.py", "Python", 173, 0, 0, 0, 13, 49, 235
"c:\Users\josei\Documents\GitHub\TCC\AG\classes.py", "Python", 45, 0, 0, 0, 3, 22, 70
"c:\Users\josei\Documents\GitHub\TCC\AG\utilidades_AG.py", "Python", 106, 0, 0, 0, 87, 31, 224
"c:\Users\josei\Documents\GitHub\TCC\fitness.py", "Python", 203, 0, 0, 0, 12, 42, 257
"c:\Users\josei\Documents\GitHub\TCC\index.html", "HTML", 0, 0, 37, 0, 0, 3, 40
"c:\Users\josei\Documents\GitHub\TCC\individuo.py", "Python", 38, 0, 0, 0, 192, 36, 266
"c:\Users\josei\Documents\GitHub\TCC\main.py", "Python", 70, 0, 0, 0, 0, 19, 89
"c:\Users\josei\Documents\GitHub\TCC\make_output.py", "Python", 77, 0, 0, 0, 56, 21, 154
"c:\Users\josei\Documents\GitHub\TCC\metadata.py", "Python", 845, 0, 0, 0, 0, 45, 890
"c:\Users\josei\Documents\GitHub\TCC\metadata_c.py", "Python", 2609, 0, 0, 0, 0, 1, 2610
"c:\Users\josei\Documents\GitHub\TCC\output.html", "HTML", 0, 0, 116, 0, 0, 7, 123
"c:\Users\josei\Documents\GitHub\TCC\requirements.txt", "pip requirements", 0, 0, 0, 9, 0, 0, 9
"c:\Users\josei\Documents\GitHub\TCC\teste.py", "Python", 10, 0, 0, 0, 5, 4, 19
"c:\Users\josei\Documents\GitHub\TCC\todo.todo", "Todo", 0, 9, 0, 0, 0, 9, 18
"Total", "-", 4176, 9, 153, 9, 368, 289, 5004
