         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
    49153    0.042    0.000    0.175    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
    49152    0.038    0.000    0.504    0.000 <__array_function__ internals>:2(prod)
    479/8    0.005    0.000    0.853    0.107 <frozen importlib._bootstrap>:1002(_find_and_load)
   553/79    0.001    0.000    0.649    0.008 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      998    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      479    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      479    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:156(__enter__)
      479    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
      998    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      476    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      519    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    668/8    0.001    0.000    0.846    0.106 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     4176    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      486    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      848    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:385(cached)
      841    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      460    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
